conf,iou,max_det,precision,recall,map50,map50_95,run_name
0.001,0.55,600,0.8422394609551925,0.7404960955443957,0.8043246782880055,0.4370511259869617,conf_0p001_iou_0p55_maxdet_600
0.001,0.55,1000,0.8422394609551925,0.7404960955443957,0.8042705021928348,0.43705831637685744,conf_0p001_iou_0p55_maxdet_1000
0.001,0.7,600,0.8372094142566036,0.7164496373883845,0.7931571677774587,0.44009429528471844,conf_0p001_iou_0p7_maxdet_600
0.001,0.7,1000,0.8372094142566036,0.7164496373883845,0.7934979546525789,0.44013046479902634,conf_0p001_iou_0p7_maxdet_1000
0.001,0.75,600,0.8240542276081956,0.7037000032916317,0.7825052724147332,0.4385729165615794,conf_0p001_iou_0p75_maxdet_600
0.001,0.75,1000,0.8240542276081956,0.7037000032916317,0.7826380714601184,0.43866806163692507,conf_0p001_iou_0p75_maxdet_1000
0.01,0.55,600,0.8422394609551925,0.7404960955443957,0.7988060996290721,0.43470399161768364,conf_0p01_iou_0p55_maxdet_600
0.01,0.55,1000,0.8422394609551925,0.7404960955443957,0.7988039022838155,0.4347557913731383,conf_0p01_iou_0p55_maxdet_1000
0.01,0.7,600,0.8372094142566036,0.7164496373883845,0.7898492432637704,0.4381108248289916,conf_0p01_iou_0p7_maxdet_600
0.01,0.7,1000,0.8372094142566036,0.7164496373883845,0.7900763581139049,0.4381552551801532,conf_0p01_iou_0p7_maxdet_1000
0.01,0.75,600,0.8240542276081956,0.7037000032916317,0.7794277772363493,0.43681495500667816,conf_0p01_iou_0p75_maxdet_600
0.01,0.75,1000,0.8240542276081956,0.7037000032916317,0.7797947887812684,0.4369042124658638,conf_0p01_iou_0p75_maxdet_1000
0.05,0.55,600,0.8422394609551925,0.7404960955443957,0.7851230655886547,0.42887676919856554,conf_0p05_iou_0p55_maxdet_600
0.05,0.55,1000,0.8422394609551925,0.7404960955443957,0.7851230655886547,0.42887676919856554,conf_0p05_iou_0p55_maxdet_1000
0.05,0.7,600,0.8372094142566036,0.7164496373883845,0.780362322008858,0.4333766635005906,conf_0p05_iou_0p7_maxdet_600
0.05,0.7,1000,0.8372094142566036,0.7164496373883845,0.780362322008858,0.4333766635005906,conf_0p05_iou_0p7_maxdet_1000
0.05,0.75,600,0.8240542276081956,0.7037000032916317,0.7713640272759889,0.4321443354819784,conf_0p05_iou_0p75_maxdet_600
0.05,0.75,1000,0.8240542276081956,0.7037000032916317,0.7713638139701916,0.43222299545746057,conf_0p05_iou_0p75_maxdet_1000
0.1,0.55,600,0.8422394609551925,0.7404960955443957,0.7674763389701625,0.42252998652645085,conf_0p1_iou_0p55_maxdet_600
0.1,0.55,1000,0.8422394609551925,0.7404960955443957,0.7674763389701625,0.42252998652645085,conf_0p1_iou_0p55_maxdet_1000
0.1,0.7,600,0.8372094142566036,0.7164496373883845,0.7656291618017982,0.42675583675872997,conf_0p1_iou_0p7_maxdet_600
0.1,0.7,1000,0.8372094142566036,0.7164496373883845,0.7656291618017982,0.42675583675872997,conf_0p1_iou_0p7_maxdet_1000
0.1,0.75,600,0.8240542276081956,0.7037000032916317,0.7590028102118268,0.4259012252143947,conf_0p1_iou_0p75_maxdet_600
0.1,0.75,1000,0.8240542276081956,0.7037000032916317,0.7590028102118268,0.4259012252143947,conf_0p1_iou_0p75_maxdet_1000
